"outcome","rank","feature"
"Delayed_Graft_Function",86,"Mean_Aspect_Ratio_Nuclei_TF_MaxAr_R"
"Delayed_Graft_Function",87,"Standard_Deviation_Aspect_Ratio_Nuclei_TF_MaxAr_R"
"Delayed_Graft_Function",88,"Total_Object_Aspect_Ratio_TF_MaxAr_R"
"Delayed_Graft_Function",89,"Sum_Distance_Transform_By_Object_Area_Nuclei_TF_INF35_R"
"Delayed_Graft_Function",90,"Max_Distance_Transform_By_Object_Area_Nuclei_TF_INF35_R"
"Delayed_Graft_Function",91,"Max_Distance_Transform_Nuclei_TF_INF35_R"
"Delayed_Graft_Function",92,"Mean_Distance_Transform_By_Eosinophilic_Area_TF_INF35_R"
"Delayed_Graft_Function",93,"Sum_Distance_Transform_Luminal_Space_TF_INF35_R"
"Delayed_Graft_Function",94,"Mean_Distance_Transform_By_Luminal_Space_Area_TF_INF35_R"
"Delayed_Graft_Function",95,"Mean_Distance_Transform_Luminal_Space_TF_INF35_R"
"Delayed_Graft_Function",96,"Homogeneity_Nuclei_TF_INF35_R"
"Delayed_Graft_Function",97,"Correlation_Nuclei_TF_INF35_R"
"Delayed_Graft_Function",98,"Energy_Nuclei_TF_INF35_R"
"Delayed_Graft_Function",99,"Correlation_Eosinophilic_TF_INF35_R"
"Delayed_Graft_Function",100,"Correlation_Luminal_Space_TF_INF35_R"
