"outcome","rank","feature"
"eGFR_CKD_EPI_6M",44,"Max_Distance_TF_Nuclei_reviewed_MF01"
"eGFR_CKD_EPI_6M",45,"Sum_Distance_TF_By_Luminal_Space_Area_reviewed_MF01"
"eGFR_CKD_EPI_6M",46,"Energy_Nuclei_reviewed_MF01"
"eGFR_CKD_EPI_6M",47,"Correlation_Luminal_Space_reviewed_MF01"
"eGFR_CKD_EPI_6M",48,"Nuclei_Area_By_Object_Area_reviewed_MF01"
"eGFR_CKD_EPI_6M",49,"Eosinophilic_Area_reviewed_MF01"
"eGFR_CKD_EPI_6M",50,"Luminal_Space_Area_reviewed_MF01"
"eGFR_CKD_EPI_6M",51,"Nuclei_Number_reviewed_MF01"
"eGFR_CKD_EPI_6M",52,"Standard_Deviation_Aspect_Ratio_Nuclei_reviewed_MF01"
"eGFR_CKD_EPI_6M",53,"Mean_Nuclear_Area_reviewed_MF01"
"eGFR_CKD_EPI_6M",54,"Major_Axis_Length_reviewed_MF01"
"eGFR_CKD_EPI_6M",55,"Mean_Distance_Transform_By_Nuclei_Area_TF_CT_rev"
"eGFR_CKD_EPI_6M",56,"Max_Distance_Transform_Nuclei_TF_CT_rev"
"eGFR_CKD_EPI_6M",57,"Mean_Distance_Transform_By_Eosinophilic_Area_TF_CT_rev"
"eGFR_CKD_EPI_6M",58,"Sum_Distance_Transform_Luminal_Space_TF_CT_rev"
"eGFR_CKD_EPI_6M",59,"Mean_Distance_Transform_By_Object_Area_Luminal_Space_TF_CT_rev"
"eGFR_CKD_EPI_6M",60,"Mean_Distance_Transform_By_Luminal_Space_Area_TF_CT_rev"
"eGFR_CKD_EPI_6M",61,"Energy_Nuclei_TF_CT_rev"
"eGFR_CKD_EPI_6M",62,"Contrast_Eosinophilic_TF_CT_rev"
"eGFR_CKD_EPI_6M",63,"Correlation_Luminal_Space_TF_CT_rev"
"eGFR_CKD_EPI_6M",64,"Nuclei_Number_TF_CT_rev"
"eGFR_CKD_EPI_6M",65,"Standard_Deviation_Aspect_Ratio_Nuclei_TF_CT_rev"
"eGFR_CKD_EPI_6M",66,"Total_Object_Aspect_Ratio_TF_CT_rev"
"eGFR_CKD_EPI_6M",67,"Major_Axis_Length_TF_CT_rev"
"eGFR_CKD_EPI_6M",68,"Mean_Distance_Transform_By_Object_Area_Luminal_Space_V_Mean_rev"
"eGFR_CKD_EPI_6M",69,"Energy_Nuclei_V_Mean_rev"
"eGFR_CKD_EPI_6M",70,"Mean_Aspect_Ratio_Nuclei_V_Mean_rev"
"eGFR_CKD_EPI_6M",71,"Standard_Deviation_Aspect_Ratio_Nuclei_V_Mean_rev"
"eGFR_CKD_EPI_6M",72,"Total_Object_Aspect_Ratio_V_Mean_rev"
"eGFR_CKD_EPI_6M",73,"Sum_Distance_Transform_By_Object_Area_Nuclei_TF_MaxAr_R"
"eGFR_CKD_EPI_6M",74,"Mean_Distance_Transform_By_Eosinophilic_Area_TF_MaxAr_R"
"eGFR_CKD_EPI_6M",75,"Max_Distance_Transform_Eosinophilic_TF_MaxAr_R"
"eGFR_CKD_EPI_6M",76,"Sum_Distance_Transform_Luminal_Space_TF_MaxAr_R"
"eGFR_CKD_EPI_6M",77,"Mean_Distance_Transform_By_Object_Area_Luminal_Space_TF_MaxAr_R"
"eGFR_CKD_EPI_6M",78,"Correlation_Nuclei_TF_MaxAr_R"
"eGFR_CKD_EPI_6M",79,"Energy_Nuclei_TF_MaxAr_R"
"eGFR_CKD_EPI_6M",80,"Contrast_Eosinophilic_TF_MaxAr_R"
"eGFR_CKD_EPI_6M",81,"Homogeneity_Eosinophilic_TF_MaxAr_R"
"eGFR_CKD_EPI_6M",82,"Correlation_Eosinophilic_TF_MaxAr_R"
"eGFR_CKD_EPI_6M",83,"Correlation_Luminal_Space_TF_MaxAr_R"
"eGFR_CKD_EPI_6M",84,"Energy_Luminal_Space_TF_MaxAr_R"
"eGFR_CKD_EPI_6M",85,"Nuclei_Area_By_Object_Area_TF_MaxAr_R"
"eGFR_CKD_EPI_6M",86,"Mean_Aspect_Ratio_Nuclei_TF_MaxAr_R"
"eGFR_CKD_EPI_6M",87,"Standard_Deviation_Aspect_Ratio_Nuclei_TF_MaxAr_R"
"eGFR_CKD_EPI_6M",88,"Total_Object_Aspect_Ratio_TF_MaxAr_R"
"eGFR_CKD_EPI_6M",89,"Sum_Distance_Transform_By_Object_Area_Nuclei_TF_INF35_R"
"eGFR_CKD_EPI_6M",90,"Max_Distance_Transform_By_Object_Area_Nuclei_TF_INF35_R"
"eGFR_CKD_EPI_6M",91,"Max_Distance_Transform_Nuclei_TF_INF35_R"
"eGFR_CKD_EPI_6M",92,"Mean_Distance_Transform_By_Eosinophilic_Area_TF_INF35_R"
"eGFR_CKD_EPI_6M",93,"Sum_Distance_Transform_Luminal_Space_TF_INF35_R"
"eGFR_CKD_EPI_6M",94,"Mean_Distance_Transform_By_Luminal_Space_Area_TF_INF35_R"
"eGFR_CKD_EPI_6M",95,"Mean_Distance_Transform_Luminal_Space_TF_INF35_R"
"eGFR_CKD_EPI_6M",96,"Homogeneity_Nuclei_TF_INF35_R"
"eGFR_CKD_EPI_6M",97,"Correlation_Nuclei_TF_INF35_R"
"eGFR_CKD_EPI_6M",98,"Energy_Nuclei_TF_INF35_R"
"eGFR_CKD_EPI_6M",99,"Correlation_Eosinophilic_TF_INF35_R"
"eGFR_CKD_EPI_6M",100,"Correlation_Luminal_Space_TF_INF35_R"
"eGFR_CKD_EPI_12M",1,"Expanded_criteria_donor"
"eGFR_CKD_EPI_12M",2,"Donor_age"
"eGFR_CKD_EPI_12M",3,"Donor_Sex_0_Male_1_Female"
"eGFR_CKD_EPI_12M",4,"Donor_BMI"
"eGFR_CKD_EPI_12M",5,"Donor_Hypertension_History"
"eGFR_CKD_EPI_12M",6,"Donor_Diabetes_History"
"eGFR_CKD_EPI_12M",7,"Donor_cause_of_death_code"
"eGFR_CKD_EPI_12M",8,"Donor_final_creatinine"
"eGFR_CKD_EPI_12M",9,"KDRI_2024"
"eGFR_CKD_EPI_12M",10,"KDPI_SUP_85_2024"
"eGFR_CKD_EPI_12M",11,"IFTA_GT1"
"eGFR_CKD_EPI_12M",12,"REMUZZI_GT1"
"eGFR_CKD_EPI_12M",13,"REMUZZI_OnCall_RP"
"eGFR_CKD_EPI_12M",14,"Fibrointimal_thickening_AI_All_Estimations"
"eGFR_CKD_EPI_12M",15,"Fibro15"
"eGFR_CKD_EPI_12M",16,"Fibro20"
"eGFR_CKD_EPI_12M",17,"Fibro25_human"
"eGFR_CKD_EPI_12M",18,"IFTA_AI_PERCENTAGE"
"eGFR_CKD_EPI_12M",19,"Glomerulosclerosis_PERCENTAGE_AI_PLUS_HUMAN_GT"
"eGFR_CKD_EPI_12M",20,"sGlomerulus_count"
"eGFR_CKD_EPI_12M",21,"Glomerular_density_count"
"eGFR_CKD_EPI_12M",22,"Average_glomerular_radius"
"eGFR_CKD_EPI_12M",23,"Std_glomerular_radius"
"eGFR_CKD_EPI_12M",24,"Average_sclglomerular_area"
"eGFR_CKD_EPI_12M",25,"Std_sclglomerular_area"
"eGFR_CKD_EPI_12M",26,"Std_cortical_tubular_area"
"eGFR_CKD_EPI_12M",27,"Std_cortical_tubular_radius"
"eGFR_CKD_EPI_12M",28,"Std_medullary_tubular_area"
"eGFR_CKD_EPI_12M",29,"Average_medullary_tubular_radius"
"eGFR_CKD_EPI_12M",30,"Std_medullary_tubular_radius"
"eGFR_CKD_EPI_12M",31,"Cortical_arterialolar_density"
"eGFR_CKD_EPI_12M",32,"Average_lumen_to_wall_ratio"
"eGFR_CKD_EPI_12M",33,"Cortical_tubular_density_area"
"eGFR_CKD_EPI_12M",34,"Cortical_artery_density_area"
"eGFR_CKD_EPI_12M",35,"Medullary_arteriole_density_area"
"eGFR_CKD_EPI_12M",36,"Gloms_cortex_tubules_ratio_"
